# Step | Energy (eV) | Status
   0 |  -502.251320 | Initial
   4 |  -502.252564 | Accepted
   8 |  -502.424682 | Accepted
  12 |  -504.257887 | Accepted
  14 |  -504.259675 | Accepted
  15 |  -504.259031 | Accepted
  16 |  -504.258050 | Accepted
  18 |  -504.940258 | Accepted
  21 |  -504.938745 | Accepted
  27 |  -505.350548 | Accepted
  31 |  -505.349740 | Accepted
  33 |  -505.348298 | Accepted
  37 |  -505.347695 | Accepted
  45 |  -505.348252 | Accepted
  46 |  -505.349284 | Accepted
  47 |  -505.348566 | Accepted
  51 |  -505.691520 | Accepted
  53 |  -505.691376 | Accepted
  54 |  -506.540113 | Accepted
  55 |  -506.537661 | Accepted
  56 |  -506.539334 | Accepted
  58 |  -506.546581 | Accepted
  62 |  -507.209043 | Accepted
  68 |  -509.993992 | Accepted
  72 |  -510.063614 | Accepted
  76 |  -510.810899 | Accepted
  81 |  -510.813723 | Accepted
  82 |  -510.962203 | Accepted
  84 |  -510.961603 | Accepted
  85 |  -512.226132 | Accepted
  92 |  -512.226335 | Accepted
  93 |  -513.715143 | Accepted
  98 |  -513.714826 | Accepted
 100 |  -513.717230 | Accepted
 105 |  -513.716638 | Accepted
 107 |  -513.717206 | Accepted
 108 |  -514.019730 | Accepted
 114 |  -514.017790 | Accepted
 123 |  -514.019219 | Accepted
 126 |  -514.018847 | Accepted
 131 |  -514.020144 | Accepted
 133 |  -514.019497 | Accepted
 141 |  -514.433084 | Accepted
 142 |  -514.432582 | Accepted
 143 |  -514.582109 | Accepted
 148 |  -514.580565 | Accepted
 152 |  -514.582577 | Accepted
 155 |  -514.582644 | Accepted
 159 |  -514.582313 | Accepted
 161 |  -514.581833 | Accepted
 162 |  -515.667579 | Accepted
 163 |  -516.027743 | Accepted
 165 |  -516.539220 | Accepted
 167 |  -516.538894 | Accepted
 179 |  -516.538151 | Accepted
 186 |  -516.537650 | Accepted
 197 |  -516.537439 | Accepted
 199 |  -516.537504 | Accepted
 200 |  -516.537740 | Accepted
 212 |  -516.538170 | Accepted
 215 |  -516.539200 | Accepted
 231 |  -517.099840 | Accepted
 233 |  -517.099932 | Accepted
 237 |  -517.100465 | Accepted
 238 |  -517.100382 | Accepted
 239 |  -517.100286 | Accepted
 240 |  -517.133361 | Accepted
 249 |  -517.131963 | Accepted
 259 |  -517.132596 | Accepted
 270 |  -517.131573 | Accepted
 271 |  -517.133713 | Accepted
 275 |  -517.132858 | Accepted
 277 |  -517.130690 | Accepted
 278 |  -517.340765 | Accepted
 282 |  -517.340328 | Accepted
 284 |  -517.968789 | Accepted
 286 |  -517.970651 | Accepted
 298 |  -517.969750 | Accepted
 300 |  -517.970965 | Accepted
 301 |  -517.970842 | Accepted
 302 |  -517.970847 | Accepted
 305 |  -517.970786 | Accepted
 311 |  -517.969707 | Accepted
 313 |  -517.970594 | Accepted
 317 |  -517.968997 | Accepted
 324 |  -517.968903 | Accepted
 327 |  -517.969126 | Accepted
 328 |  -517.969244 | Accepted
 345 |  -517.969545 | Accepted
 349 |  -517.964766 | Accepted
 350 |  -517.970160 | Accepted
 358 |  -517.970123 | Accepted
 360 |  -517.970105 | Accepted
 361 |  -517.969874 | Accepted
 367 |  -517.970107 | Accepted
 373 |  -517.969011 | Accepted
 376 |  -517.970116 | Accepted
 385 |  -518.393233 | Accepted
 388 |  -518.393805 | Accepted
 394 |  -518.393726 | Accepted
 399 |  -518.393399 | Accepted
 400 |  -518.394083 | Accepted
 414 |  -518.393604 | Accepted
 425 |  -518.392130 | Accepted
 427 |  -518.394224 | Accepted
 429 |  -518.394406 | Accepted
 448 |  -518.394512 | Accepted
 449 |  -518.393582 | Accepted
 453 |  -518.834952 | Accepted
 454 |  -518.834340 | Accepted
 456 |  -518.835435 | Accepted
 459 |  -518.833993 | Accepted
 460 |  -518.834548 | Accepted
 463 |  -518.835422 | Accepted
 467 |  -518.835588 | Accepted
 469 |  -518.835413 | Accepted
 470 |  -518.833911 | Accepted
 476 |  -518.833894 | Accepted
 479 |  -518.834815 | Accepted
 486 |  -518.834942 | Accepted
 490 |  -518.834048 | Accepted
