# Step | Energy (eV) | Status
   0 |  -606.231543 | Initial
   1 |  -606.207099 | Accepted
   2 |  -608.337324 | Accepted
   3 |  -608.334536 | Accepted
   7 |  -608.327177 | Accepted
   8 |  -608.323479 | Accepted
   9 |  -608.323018 | Accepted
  10 |  -608.328481 | Accepted
  11 |  -608.328658 | Accepted
  12 |  -608.329284 | Accepted
  14 |  -608.541239 | Accepted
  15 |  -608.541786 | Accepted
  16 |  -608.536006 | Accepted
  17 |  -608.538043 | Accepted
  18 |  -608.552097 | Accepted
  19 |  -608.552867 | Accepted
  20 |  -608.545844 | Accepted
  21 |  -608.543437 | Accepted
  22 |  -608.549471 | Accepted
  23 |  -608.550188 | Accepted
  24 |  -608.541668 | Accepted
  25 |  -608.550079 | Accepted
  26 |  -608.548152 | Accepted
  27 |  -608.549465 | Accepted
  28 |  -608.550384 | Accepted
  29 |  -608.539826 | Accepted
  30 |  -608.555856 | Accepted
  32 |  -608.553435 | Accepted
  33 |  -608.562825 | Accepted
  35 |  -608.553287 | Accepted
  36 |  -608.550623 | Accepted
  37 |  -608.548528 | Accepted
  40 |  -608.553661 | Accepted
  42 |  -608.547693 | Accepted
  43 |  -608.550365 | Accepted
  44 |  -608.552058 | Accepted
  46 |  -608.553367 | Accepted
  49 |  -608.621900 | Accepted
  50 |  -608.628952 | Accepted
  52 |  -608.624418 | Accepted
  53 |  -608.623846 | Accepted
  56 |  -608.619828 | Accepted
  59 |  -608.610915 | Accepted
  60 |  -608.605514 | Accepted
  61 |  -608.608961 | Accepted
  63 |  -608.608320 | Accepted
  64 |  -608.603632 | Accepted
  65 |  -608.598903 | Accepted
  66 |  -608.603255 | Accepted
  67 |  -608.608105 | Accepted
  68 |  -608.598002 | Accepted
  69 |  -608.753236 | Accepted
  70 |  -608.747708 | Accepted
  71 |  -608.755846 | Accepted
  74 |  -608.747835 | Accepted
  75 |  -608.756880 | Accepted
  76 |  -608.761701 | Accepted
  78 |  -608.768047 | Accepted
  80 |  -608.754275 | Accepted
  82 |  -608.761309 | Accepted
  83 |  -608.758102 | Accepted
  84 |  -608.767311 | Accepted
  86 |  -608.760149 | Accepted
  87 |  -608.761917 | Accepted
  88 |  -608.758519 | Accepted
  89 |  -608.760237 | Accepted
  90 |  -608.757601 | Accepted
  91 |  -608.763542 | Accepted
  92 |  -608.750479 | Accepted
  93 |  -608.761685 | Accepted
  95 |  -608.752758 | Accepted
  97 |  -608.758970 | Accepted
  99 |  -608.762711 | Accepted
 100 |  -608.762712 | Accepted
 101 |  -608.764608 | Accepted
 102 |  -608.759644 | Accepted
 104 |  -608.761472 | Accepted
 105 |  -608.758112 | Accepted
 106 |  -608.762000 | Accepted
 107 |  -608.763677 | Accepted
 109 |  -608.766331 | Accepted
 111 |  -608.758518 | Accepted
 112 |  -608.758428 | Accepted
 113 |  -608.757525 | Accepted
 114 |  -608.756876 | Accepted
 115 |  -608.760492 | Accepted
 116 |  -608.755476 | Accepted
 117 |  -608.759059 | Accepted
 118 |  -608.753650 | Accepted
 119 |  -608.757887 | Accepted
 120 |  -608.768846 | Accepted
 122 |  -608.761676 | Accepted
 123 |  -608.759364 | Accepted
 126 |  -608.754222 | Accepted
 127 |  -608.756171 | Accepted
 129 |  -608.753202 | Accepted
 130 |  -608.765517 | Accepted
 131 |  -608.757114 | Accepted
 132 |  -609.235213 | Accepted
 133 |  -609.225467 | Accepted
 134 |  -609.225368 | Accepted
 135 |  -609.247338 | Accepted
 136 |  -609.253982 | Accepted
 137 |  -609.267006 | Accepted
 138 |  -609.271556 | Accepted
 139 |  -609.278133 | Accepted
 140 |  -609.278235 | Accepted
 142 |  -609.278593 | Accepted
 143 |  -609.284568 | Accepted
 144 |  -609.285043 | Accepted
 145 |  -609.281449 | Accepted
 147 |  -609.273041 | Accepted
 148 |  -609.268469 | Accepted
 149 |  -609.270471 | Accepted
 150 |  -609.276411 | Accepted
 151 |  -609.282055 | Accepted
 152 |  -609.280655 | Accepted
 155 |  -609.276427 | Accepted
 156 |  -609.270568 | Accepted
 157 |  -609.274910 | Accepted
 158 |  -609.277738 | Accepted
 159 |  -609.267522 | Accepted
 160 |  -609.276394 | Accepted
 161 |  -609.276748 | Accepted
 162 |  -609.280445 | Accepted
 163 |  -609.277932 | Accepted
 164 |  -609.273196 | Accepted
 165 |  -609.287993 | Accepted
 168 |  -609.273533 | Accepted
 169 |  -609.271485 | Accepted
 170 |  -609.279087 | Accepted
 171 |  -609.267677 | Accepted
 172 |  -609.265388 | Accepted
 173 |  -609.268652 | Accepted
 174 |  -609.271476 | Accepted
 175 |  -609.266030 | Accepted
 176 |  -609.272492 | Accepted
 177 |  -609.275824 | Accepted
 178 |  -609.270961 | Accepted
 179 |  -609.277726 | Accepted
 180 |  -609.288218 | Accepted
 181 |  -609.289272 | Accepted
 182 |  -609.277594 | Accepted
 183 |  -609.280883 | Accepted
 184 |  -609.281120 | Accepted
 185 |  -609.287540 | Accepted
 186 |  -609.281285 | Accepted
 189 |  -609.277825 | Accepted
 190 |  -609.286121 | Accepted
